title,author
Broken Homes,Ben Aaronovitch
Alice in Zombieland,Gena Showalter
City of Thieves,David Benioff
The King of Attolia,Megan Whalen Turner
It's Kind of a Funny Story,Ned Vizzini
From Potter's Field,Patricia Cornwell
Ender's Game,Orson Scott Card
Addicted,Zane
A Hunger Like No Other,Kresley Cole
The Coldest Winter Ever,Sister Souljah
The Bell Jar,Sylvia Plath
Cosmopolis,Don DeLillo
The Secret,Julie Garwood
Mastiff,Tamora Pierce
Red Rabbit,Tom Clancy
Boneshaker ,Cherie Priest
Cross Fire,James Patterson
The Gift,"James Patterson, Ned Rust"
Point of Impact,Stephen Hunter
Cometh the Hour,Jeffrey Archer
The Starter Wife,Gigi Levangie Grazer
The Places In Between,Rory Stewart
Girl in Translation,Jean Kwok
Dark Legend,Christine Feehan
Castle of Wizardry,David Eddings
Surface Detail,Iain M. Banks
The Mediterranean Caper,Clive Cussler
The Lincoln Lawyer ,Michael Connelly
The Last Coyote,Michael Connelly
Princess of Glass,Jessica Day George
The Host,Stephenie Meyer
Spider's Bite,Jennifer Estep
Undead and Unwed,MaryJanice Davidson
Day by Day Armageddon,J.L. Bourne
Gateway,Frederik Pohl
King of the Murgos,David Eddings
P.S. I Still Love You,Jenny Han
The Young Elites,Marie Lu
We3,"Grant Morrison, Frank Quitely"
Brick Lane,Monica Ali
"To Sir Phillip, With Love",Julia Quinn
Illuminae,"Amie Kaufman, Jay Kristoff"
The Long Haul ,Jeff Kinney
Exit to Eden,"Anne Rampling, Anne Rice"
The Fold,Peter Clines
Even Now,Karen Kingsbury
Skellig,David Almond
The Gashlycrumb Tinies,Edward Gorey
Lucky You,Carl Hiaasen
A Stolen Life,Jaycee Dugard
Man and Boy,Tony Parsons
The Giving Tree,Shel Silverstein
The Selection,Kiera Cass
Lord of the Flies ,William Golding
My Sunshine Away,M.O. Walsh
The Last Continent,Terry Pratchett
Castle in the Air,Diana Wynne Jones
Winter Stroll,Elin Hilderbrand
Wedding Night,Sophie Kinsella
Sever,Lauren DeStefano
A Single Man,Christopher Isherwood
The Raven King,Maggie Stiefvater
Fire Sea,"Margaret Weis, Tracy Hickman"
Night Road,Kristin Hannah
Eyes of Prey,John Sandford
Labyrinth,Kate Mosse
Rock Chick,Kristen Ashley
Hallowe'en Party,Agatha Christie
The Scorpio Races,Maggie Stiefvater
Moon Called,Patricia Briggs
Proven Guilty,Jim Butcher
Rough Country,John Sandford
Nineteen Minutes,Jodi Picoult
Fall on Your Knees,Ann-Marie MacDonald
Then Came You,Jennifer Weiner
The Mixed-Up Chameleon,Eric Carle
Weaveworld,Clive Barker
Switched,Amanda Hocking
The Underworld,Jessica Sorensen
The Passion of Artemisia,Susan Vreeland
Catching Jordan,Miranda Kenneally
Paradise Kiss 1,Ai Yazawa
Open Season,Linda Howard
Dune Messiah ,Frank Herbert
Heat Rises,Richard Castle
Fly Away Home,Jennifer Weiner
Starship Troopers,Robert A. Heinlein
Apollyon,Jennifer L. Armentrout
From Here to Eternity,James  Jones
Rumor Has it,Jill Mansell
Dark Angel,V.C. Andrews
Succubus Dreams ,Richelle Mead
The Space Between Us,Thrity Umrigar
The Paris Architect,Charles Belfoure
The Circle,Dave Eggers
Feast of Fools,Rachel Caine
War Horse,Michael Morpurgo
Lover at Last,J.R. Ward
Sudden Prey,John Sandford
A Game of Thrones,George R.R. Martin
Nation,Terry Pratchett
Room,Emma Donoghue
Spell Bound,Rachel Hawkins
Mariana,Susanna Kearsley
Pretty Girls,Karin Slaughter
Are You My Mother?,P.D. Eastman
Love Medicine,Louise Erdrich
Devil May Cry,Sherrilyn Kenyon
Shantaram,Gregory David Roberts
Luck in the Shadows,Lynn Flewelling
The Day of the Jackal,Frederick Forsyth
The Stainless Steel Rat,Harry Harrison
The Hotel New Hampshire,John Irving
The Woman in Cabin 10,Ruth Ware
Nobody's Fool,Richard Russo
Bridge to Haven,Francine Rivers
A Tree Grows In Brooklyn ,Betty  Smith
Great House,Nicole Krauss
"Ramona Quimby, Age 8",Beverly Cleary
Fool,Christopher Moore
Moriarty,Anthony Horowitz
The Turner House,Angela Flournoy
The Rivers of Zadaa,D.J. MacHale
You Had Me At Hello,Mhairi McFarlane
Fool Moon ,Jim Butcher
Quicksilver,Neal Stephenson
What Happened to Goodbye,Sarah Dessen
The Body Farm,Patricia Cornwell
The Merchant of Death,D.J. MacHale
The Son of Sobek,Rick Riordan
The Complete Maus,Art Spiegelman
Insatiable,Meg Cabot
High Noon,Nora Roberts
Angels,Marian Keyes
Once a Runner,John L. Parker Jr.
A Million Suns ,Beth Revis
Behind Her Eyes,Sarah Pinborough
The Yearling,Marjorie Kinnan Rawlings
Party Princess,Meg Cabot
No Mercy,Sherrilyn Kenyon
Rhett Butler's People,Donald McCaig
Scorpia,Anthony Horowitz
L is for Lawless,Sue Grafton
Rainbow Boys,Alex   Sanchez
The Tenth Insight ,James Redfield
Presumed Innocent,Scott Turow
Thunderstruck,Erik Larson
The Shoemaker's Wife,Adriana Trigiani
A Little Life,Hanya Yanagihara
Glitter and Glue,Kelly Corrigan
Gathering Prey,John Sandford
Perfect Chemistry,Simone Elkeles
The High King ,Lloyd Alexander
The Astronaut Wives Club,Lily Koppel
When Calls the Heart,Janette Oke
The Sum of All Men,David Farland
Lost,"Gregory Maguire, Douglas Smith"
The Naked Face,Sidney Sheldon
Underworld,Don DeLillo
This Savage Song,Victoria Schwab
The Dragonbone Chair,Tad Williams
The Fault in Our Stars,John Green
Tiger's Voyage,Colleen Houck
The Wasp Factory,Iain Banks
Split Second,David Baldacci
Blindsighted,Karin Slaughter
Since You've Been Gone,Morgan Matson
Mirror Dance,Lois McMaster Bujold
Angelology,Danielle Trussoni
Blameless,Gail Carriger
L'isola del giorno prima,Umberto Eco
Diamonds are Forever,Ian Fleming
Up From the Grave ,Jeaniene Frost
Singularity Sky,Charles Stross
Waiting to Exhale,Terry McMillan
The Red Badge of Courage,Stephen Crane
River Marked,Patricia Briggs
Stone Cold,David Baldacci
Rachel's Holiday,Marian Keyes
The Book of Shadows,Paula Brackston
The Patron Saint of Liars,Ann Patchett
Sizzling Sixteen,Janet Evanovich
The Bonfire of the Vanities,Tom Wolfe
Paddy Clarke Ha Ha Ha,Roddy Doyle
Mad About the Boy,Helen Fielding
My Name Is Mary Sutter,Robin Oliveira
Infinite Jest,David Foster Wallace
The Ghost Brigades,John Scalzi
Another Fine Myth,Robert Lynn Asprin
To The Lighthouse ,Virginia Woolf
Heaven,Alexandra Adornetto
Captain's Fury,Jim Butcher
"Night World, No. 3",L.J. Smith
David Gets in Trouble,David Shannon
Beautiful Stranger,Christina Lauren
Grave Surprise,Charlaine Harris
Empire of Ivory,Naomi Novik
The Lace Reader,Brunonia Barry
Curious George,H.A. Rey
Dance Upon The Air,Nora Roberts
Hausfrau,Jill Alexander Essbaum
The Bone People,Keri Hulme
A Rose for Emily,William Faulkner
Strip Tease,Carl Hiaasen
Frog and Toad Are Friends,Arnold Lobel
Uglies,Scott Westerfeld
Fool's Fate,Robin Hobb
"White Witch, Black Curse",Kim Harrison
Children of God,Mary Doria Russell
Total Control,David Baldacci
The Chosen,Chaim Potok
Terms of Endearment,Larry McMurtry
Nachfolge,Dietrich Bonhoeffer
The Virgin Cure,Ami McKay
"From Russia, with Love",Ian Fleming
Okay for Now,Gary D. Schmidt
Anil's Ghost,Michael Ondaatje
Fang,James Patterson
You Can Heal Your Life,Louise L. Hay
Still Life with Woodpecker,Tom Robbins
Waterfall,Lisa Tawn Bergren
Ilse Witch ,Terry Brooks
The Lost Wife,Alyson Richman
Greenwitch,Susan Cooper
Tell No One,Harlan Coben
Deity,Jennifer L. Armentrout
Girls in White Dresses,Jennifer Close
Debt Inheritance,Pepper Winters
The Notebook,Nicholas Sparks
From the Corner of His Eye,Dean Koontz
Prodigal Summer,Barbara Kingsolver
Stellaluna,Janell Cannon
Ghost World,Daniel Clowes
The Birth of Venus,Sarah Dunant
Sins of the Night,Sherrilyn Kenyon
The Search,Nora Roberts
Brokeback Mountain,Annie Proulx
Blow Fly,Patricia Cornwell
Lone Wolf,Jodi Picoult
Hallowed,Cynthia Hand
Servant of the Bones,Anne Rice
The Selfish Gene,Richard Dawkins
Prey,Michael Crichton
The Line of Beauty,Alan Hollinghurst
Hannibal Rising,Thomas Harris
The Source,James A. Michener
A Reliable Wife,Robert Goolrick
The Bourne Identity,Robert Ludlum
The Evolutionary Void,Peter F. Hamilton
Small Favor,Jim Butcher
The Grapes of Wrath,John Steinbeck
Ringworld,Larry Niven
The Return of the King,J.R.R. Tolkien
Being Nikki,Meg Cabot
Dawn,Erin Hunter
Losing It,Cora Carmack
The Blind Assassin,Margaret Atwood
Descent,Tim Johnston
The Omnivore's Dilemma,Michael Pollan
King of Foxes,Raymond E. Feist
Eternal Rider,Larissa Ione
The Other Side of Dawn,John Marsden
The Diviners,Libba Bray
Valley of the Dolls,Jacqueline Susann
Shatterglass,Tamora Pierce
Dawn,Octavia E. Butler
Boy Meets Girl,Meg Cabot
The Grand Sophy,Georgette Heyer
Mortal Coil,Derek Landy
Desperation,Stephen King
A Long Walk to Water,Linda Sue Park
Honor Among Enemies,David Weber
Heir of Novron,Michael J. Sullivan
